CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1704,14233149298961617321,15404658072250754101,131072 --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12849 --mojo-platform-channel-handle=12148 /prefetch:1 , 20211222185959.527956-300 , C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,6304 , 26628 , ('SLATE', 0, 'lucas') , N/A
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1704,14233149298961617321,15404658072250754101,131072 --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12850 --mojo-platform-channel-handle=16200 /prefetch:1 , 20211222185959.654205-300 , C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,6304 , 20136 , ('SLATE', 0, 'lucas') , N/A
"C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_10.2103.6.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"  , 20211222190005.062602-300 , C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_10.2103.6.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,1836 , 13156 , ('SLATE', 0, 'lucas') , N/A
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_10.2103.6.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"  , 20211222190639.420267-300 , C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_10.2103.6.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,1836 , 23400 , ('SLATE', 0, 'lucas') , SeChangeNotifyPrivilege|
"C:\WINDOWS\SysWOW64\DllHost.exe" /Processid:{776DBC8D-7347-478C-8D71-791E12EF49D8} , 20211222190656.612031-300 , C:\WINDOWS\SysWOW64\DllHost.exe,1316 , 16612 , ('SLATE', 0, 'lucas') , SeChangeNotifyPrivilege|
None , 20211222190656.931648-300 , None,9160 , 15040 , (None, 2, None) , N/A
None , 20211222190657.173044-300 , None,4276 , 26196 , (None, 2, None) , N/A
C:\Windows\System32\smartscreen.exe -Embedding , 20211222190656.851053-300 , C:\Windows\System32\smartscreen.exe,1316 , 26928 , ('SLATE', 0, 'lucas') , SeChangeNotifyPrivilege|
None , 20211222190658.352080-300 , None,1836 , 20648 , ('SLATE', 0, 'lucas') , N/A
None , 20211222190658.374501-300 , None,20648 , 6608 , ('SLATE', 0, 'lucas') , N/A
